index,ingredients,output,changelog
71,"Filling: Water, Cooked Seasoned Beef Steak Strips (Beef, Water, Less Than 2% Salt, Dehydrated Garlic, Dehydrated Onion, Chili Pepper, Spice, Cane Sugar, Grill Flavor [Tapioca Dextrin, Sunflower Oil, Tricalcium Phosphate], Natural Flavors, Flavoring), Pinto Beans, Tomatoes (Tomatoes, Tomato Puree, Citric Acid [For Freshness]), Onions, Contains 2% or Less Of: Green Bell Peppers, Red Bell Peppers, Green Chiles, Vinegar, Flavorings, Natural Grill Flavor (Gum Arabic, Natural Flavor, Tricalcium Phosphate), Jalapenos (Jalapeno Peppers, Salt, Acetic Acid, Water, Calcium Chloride), Soybean Oil, Salt, Cilantro Flavor (Dextrose, Extractives of Cilantro, Natural Flavor), Modified Food Starch, Guar Gum. Tortilla: Enriched Wheat Flour (Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Soybean Oil, Salt, Baking Powder (Corn Starch, Sodium Acid Pyrophosphate, Sodium Bicarbonate, Monocalcium Phosphate), Emulsifiers (Guar Gum, Mono-Diglycerides), Guar Gum","filling: water, cooked seasoned beef steak strip (beef, water, less than 2% salt, dehydrated garlic, dehydrated onion, chili pepper, spice, cane sugar, grill flavor (tapioca dextrin, sunflower oil, tricalcium phosphate), natural flavor, flavoring), pinto bean, tomato (tomato, tomato puree, citric acid (for freshness)), onion, contain 2% or less of: green bell pepper, red bell pepper, green chile, vinegar, flavoring, natural grill flavor (gum arabic, natural flavor, tricalcium phosphate), jalapeno (jalapeno pepper, salt, acetic acid, water, calcium chloride), soybean oil, salt, cilantro flavor (dextrose, extractive of cilantro, natural flavor), modified food starch, guar gum, tortilla: enriched wheat flour (niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, soybean oil, salt, baking powder (corn starch, sodium acid pyrophosphate, sodium bicarbonate, monocalcium phosphate), emulsifier (guar gum, mono-diglycerides), guar gum","- cooked seasoned beef steak strips → cooked seasoned beef steak strip (singular)
- natural flavors → natural flavor (singular)
- pinto beans → pinto bean (singular)
- tomatoes → tomato (singular)
- tomatoes → tomato (singular)
- onions → onion (singular)
- contains 2% or less of: green bell peppers → contain 2% or less of: green bell pepper (singular)
- red bell peppers → red bell pepper (singular)
- green chiles → green chile (singular)
- flavorings → flavoring (singular)
- jalapenos → jalapeno (singular)
- jalapeno peppers → jalapeno pepper (singular)
- extractives of cilantro → extractive of cilantro (singular)
- emulsifiers → emulsifier (singular)"
72,"Capers, Wine Vinegar (Contains Sulfites), Water, Salt","caper, wine vinegar (contain sulfite), water, salt","- capers → caper (singular)
- contains sulfites → contain sulfite (singular)"
73,"Enriched Wheat Flour, (Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Sunflower Oil, Salt, Sugar","enriched wheat flour (flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sunflower oil, salt, sugar",
74,"Enriched Unbleached Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid, Malted Barley Flour, May Contain Enzymes, Ascorbic Acid), Soybean Oil, Buttermilk, Dextrose, Contains 2% or Less of the Following: Sodium Bicarbonate, Calcium Acid Pyrophosphate, Monocalcium Phosphate, Salt","enriched unbleached flour (wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, malted barley flour, may contain enzyme, ascorbic acid), soybean oil, buttermilk, dextrose, contain 2% or less of the following: sodium bicarbonate, calcium acid pyrophosphate, monocalcium phosphate, salt","- may contain enzymes → may contain enzyme (singular)
- contains 2% or less of the following: sodium bicarbonate → contain 2% or less of the following: sodium bicarbonate (singular)"
75,"Water, Soybean, Wheat, Salt and Vinegar","water, soybean, wheat, salt and vinegar",
76,"Montmorency Tart Cherries,, Sugar, Sunflower Oil","montmorency tart cherry, sugar, sunflower oil",- montmorency tart cherries → montmorency tart cherry (singular)
77,"Dried Cherries (Cherries, Sucrose, Sunflower Oil), Dried Blueberries (Blueberries, Sucrose, Sunflower Oil), Dried Strawberries (Strawberries, Sugar, Ascorbic Acid (Vitamin C), Sunflower Oil)","dried cherry (cherry, sucrose, sunflower oil), dried blueberry (blueberry, sucrose, sunflower oil), dried strawberry (strawberry, sugar, ascorbic acid (vitamin c), sunflower oil)","- dried cherries → dried cherry (singular)
- cherries → cherry (singular)
- dried blueberries → dried blueberry (singular)
- blueberries → blueberry (singular)
- dried strawberries → dried strawberry (singular)
- strawberries → strawberry (singular)"
78,Organic Cane Sugar,organic cane sugar,
79,"Mustard Seed, Distilled Vinegar Garlic, Water, Soybean Oil, Mustard Flour, Eggs, Spices (Allspice, Turmeric), Salt, Lemon Juice","mustard seed, distilled vinegar garlic, water, soybean oil, mustard flour, egg, spice (allspice, turmeric), salt, lemon juice","- eggs → egg (singular)
- spices → spice (singular)"
80,"Organic Reduced Fat Milk, Water, Organic Tomato Paste, Organic Cane Sugar, Sea Salt, Sodium Citrate, Organic Rice Flour, Organic Cheese Flavor (Organic Cheddar Cheese [Pasteurized Milk, Cultures, Salt, Enzymes], Water, Salt, Sodium Citrate, Xantham Gum), Organic Garlic Powder, Organic Onion Powder","organic reduced fat milk, water, organic tomato paste, organic cane sugar, sea salt, sodium citrate, organic rice flour, organic cheese flavor (organic cheddar cheese (pasteurized milk, culture, salt, enzyme), water, salt, sodium citrate, xanthan gum), organic garlic powder, organic onion powder","- cultures → culture (singular)
- enzymes → enzyme (singular)
- xantham gum → xanthan gum (91%)"
81,Extra Virgin Olive Oil,extra virgin olive oil,
82,"Peaches, Tomato Puree (Tomato Paste, Water), Tomatoes, Onions, Assorted Chiles and Peppers, Evaporated Cane Juice (Sugar), Chipotle Peppers, Apple Cider Vinegar, Lemon Juice (From Concentrate), Salt, Spices","peach, tomato puree (tomato paste, water), tomato, onion, assorted chile and pepper, evaporated cane juice (sugar), chipotle pepper, apple cider vinegar, lemon juice (from concentrate), salt, spice","- peaches → peach (singular)
- tomatoes → tomato (singular)
- onions → onion (singular)
- assorted chiles and peppers → assorted chile and pepper (singular)
- chipotle peppers → chipotle pepper (singular)
- spices → spice (singular)"
83,"Vinegars (Red Wine, Balsamic, Cider, Distilled), Canola Oil, Water, Sugar, Salt, Garlic, Caramel Color, Xanthan Gum, Paprika","vinegar (red wine, balsamic, cider, distilled), canola oil, water, sugar, salt, garlic, caramel color, xanthan gum, paprika",- vinegars → vinegar (singular)
84,"Tomato Puree (Water, Tomato Paste), Sugar, Molasses, Distilled Vinegar, Barbecue Seasoning (Salt, Onion Powder, Natural Hickory Smoke Flavor, Garlic Powder), Caramel Color","tomato puree (water, tomato paste), sugar, molasses, distilled vinegar, barbecue seasoning (salt, onion powder, natural hickory smoke flavor, garlic powder), caramel color",
85,Red Wine Vinegar,red wine vinegar,
86,"Chick Peas (With Water, Salt, Disodium Edta to Preserve Color), Olive Oil, Lemon Juice From Concentrate [Water, Lemon Juice Concentrate, Sodium Bisulfite and Sodium Benzoate (Preservatives), Lemon Oil], Tahini (Sesame Seeds), Seasoning [Salt, Spices, Citric Acid, Sodium Benzoate and Potassium Sorbate (Preservatives), Garlic (With Water and Phosphoric Acid)]","chickpea (with water, salt, disodium edta to preserve color), olive oil, lemon juice from concentrate (water, lemon juice concentrate, sodium bisulfite and sodium benzoate (preservative), lemon oil), tahini (sesame seed), seasoning (salt, spice, citric acid, sodium benzoate and potassium sorbate (preservative), garlic (with water and phosphoric acid))","- chick peas → chick pea (singular)
- chick pea → chickpea (94%)
- preservatives → preservative (singular)
- sesame seeds → sesame seed (singular)
- spices → spice (singular)
- preservatives → preservative (singular)"
87,Organic Durum Whole Wheat,organic durum whole wheat,
88,"Enriched Unbleached Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Sugar, Enriched Cornmeal (Yellow Degermed Ground Corn, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Cid), Baking Powder (Sodium Acid Pyrophosphate Bicarbonate of Soda, Corn Starch, Monocalcium Phosphate), Corn, Vanilla Powder, Salt","enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, enriched cornmeal (yellow degermed ground corn, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid), baking powder (sodium acid pyrophosphate bicarbonate of soda, corn starch, monocalcium phosphate), corn, vanilla powder, salt",- folic cid → folic acid (95%)
89,"Olives, Water and Salt","olive, water and salt",- olives → olive (singular)
90,Apricots Sulfur Dioxide Added For Color Retention,apricot sulfur dioxide added for color retention,- apricots sulfur dioxide added for color retention → apricot sulfur dioxide added for color retention (singular)
91,Apricots,apricot,- apricots → apricot (singular)
92,"White Miso (Water , Soybeans, Rice, Salt, Aspergillus Oryzae), Red Miso (Water, Soybeans, Rice Salt, Aspergillus Oryzae), Dextrose, Clam Extract, Powder (Shellfish), Bonito Powder, Tangle (Konbu) Extract Powder, Autolyzed Yeast Extract, Dehydrated Shiitake, Dehydrated Tofu (Soybean Protein, Brine [Water, Salt], Water), Dehydrated Chives","white miso (water, soybean, rice, salt, aspergillus oryzae), red miso (water, soybean, ice salt, aspergillus oryzae), dextrose, clam extract, powder (shellfish), bonito powder, tangle (konbu), extract powder, autolyzed yeast extract, dehydrated shiitake, dehydrated tofu (soybean protein, brine (water, salt), water), dehydrated chive","- soybeans → soybean (singular)
- soybeans → soybean (singular)
- rice salt → ice salt (94%)
- dehydrated chives → dehydrated chive (singular)"
93,"Imported San Marzano Plum Tomatoes, Tomato Puree, Imported Italian Extra Virgin Olive Oil, Anchovies (Fish), Fresh Basil, Sea Salt, Ground Black Pepper","imported san marzano plum tomato, tomato puree, imported italian extra virgin olive oil, anchovy (fish), fresh basil, sea salt, ground black pepper","- imported san marzano plum tomatoes → imported san marzano plum tomato (singular)
- anchovies → anchovy (singular)"
94,"Unbleached Enriched Wheat Flour (Flour, Niacin, Reduced Iron, Thiamine Mononitrate B1, Riboflavin-B2, Folic Acid), Organic Soybean Oil, Oat Bran, Sesame Seed, Yellow Corn Meal, Barley Malt, Rye, Salt, Yeast","unbleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin b2, folic acid), organic soybean oil, oat bran, sesame seed, yellow cornmeal, barley malt, rye, salt, yeast","- thiamine mononitrate b1 → thiamine mononitrate (93%)
- riboflavin-b2 → riboflavin b2 (92%)
- yellow corn meal → yellow cornmeal (97%)"
95,"Natural Mineral Water, Carbonation Added","natural mineral water, carbonation added",
96,"Natural Mineral Water, Natural Lemon Flavor, Carbonation Added","natural mineral water, natural lemon flavor, carbonation added",
97,"Natural Mineral Water, Natural Orange Flavor, Carbonation Added","natural mineral water, natural orange flavor, carbonation added",
98,"Natural Mineral Water, Natural Mixed Berry Flavor, Carbonated Added","natural mineral water, natural mixed berry flavor, carbonated added",
99,"Glutinous Rice, Soy Sauce (Soy Bean, Wheat, Salt, Water), Sugar, Modified Starch (Tapioca, Potato), Seaweed, Chili, Paprika Oleoresin (As Natural Color)","glutinous rice, soy sauce (soy bean, wheat, salt, water), sugar, modified starch (tapioca, potato), seaweed, chili, paprika oleoresin (natural color)",- as natural color → natural color (90%)
100,Organic Extra Virgin Olive Oil,organic extra virgin olive oil,
101,"Potatoes, Onions, Water, Dehydrated Potatoes, Canola Oil, Matzoh Meal (Wheat), Egg Whites, Egg, Salt, White Pepper","potato, onion, water, dehydrated potato, canola oil, matzo meal (wheat), egg white, egg, salt, white pepper","- potatoes → potato (singular)
- onions → onion (singular)
- dehydrated potatoes → dehydrated potato (singular)
- matzoh meal → matzo meal (95%)
- egg whites → egg white (singular)"
102,"Organic Durum Wheat Semolina, Spinach, Beet, Red Bell Pepper, Paprika","organic durum wheat semolina, spinach, beet, red bell pepper, paprika",
103,"Organic Cranberries, Organic Sugar, Organic Sunflower Oil","organic cranberry, organic sugar, organic sunflower oil",- organic cranberries → organic cranberry (singular)
104,"Water, Expeller Pressed Canola Oil, Sweet Pickle Relish (Cured Cucumbers, Cauliflower, Sugar, Distilled Vinegar, Salt, Bell Peppers, Celery Seed, Mustard Seed, Turmeric, Xanthan Gum), Egg Whites, Creole Mustard (Distilled Vinegar, Water, Mustard Seed, Salt, Spices), Jalapenos (Red Jalapenos, Salt, Acetic Acid), Egg Yolk, Horseradish (Grated Horseradish Roots, Distilled Vinegar, Water, Salt, Soybean Oil, Modified Corn Starch, Citric Acid, Flavoring), Corn Starch, Lemon Juice Concentrate, Onions, Distilled Vinegar, Salt, Garlic Puree, Dill, Xanthan Gum, Spice, Oleoresin Paprika","water, expeller pressed canola oil, sweet pickle relish (cured cucumber, cauliflower, sugar, distilled vinegar, salt, bell pepper, celery seed, mustard seed, turmeric, xanthan gum), egg white, creole mustard (distilled vinegar, water, mustard seed, salt, spice), jalapeno (red jalapeno, salt, acetic acid), egg yolk, horseradish (grated horseradish root, distilled vinegar, water, salt, soybean oil, modified corn starch, citric acid, flavoring), corn starch, lemon juice concentrate, onion, distilled vinegar, salt, garlic puree, dill, xanthan gum, spice, oleoresin paprika","- cured cucumbers → cured cucumber (singular)
- bell peppers → bell pepper (singular)
- egg whites → egg white (singular)
- spices → spice (singular)
- jalapenos → jalapeno (singular)
- red jalapenos → red jalapeno (singular)
- grated horseradish roots → grated horseradish root (singular)
- onions → onion (singular)"
105,"Filtered Water (Sufficient to Reconstitute), Blueberry Juice Concentrate","filtered water (sufficient to reconstitute), blueberry juice concentrate",
106,"Soy Sauce (Water, Wheat, Soybeans, Salt), Pineapple Juice From Concentrate, Sugar, Garlic Puree (Garlic, Water, Citric Acid), Organic Soybean Oil, White Vinegar, Sesame Seeds, Ginger Puree, Onion, Sesame Oil, Garlic, Onion Powder, Ginger Powder","soy sauce (water, wheat, soybean, salt), pineapple juice from concentrate, sugar, garlic puree (garlic, water, citric acid), organic soybean oil, white vinegar, sesame seed, ginger puree, onion, sesame oil, garlic, onion powder, ginger powder","- soybeans → soybean (singular)
- sesame seeds → sesame seed (singular)"
107,"Cultured Pasteurized Organic Low Fat Milk, Naturally Milled Organic Sugar, Organic Strawberries, Pectin, Organic Beet Juice Concentrate (For Color), Natural Flavor, Vitamin D3. Contains Live Active Cultures: S. Thermophilus, L. Bulgaricus, L. Acidophilus, Bifidus, and L. Casei","cultured pasteurized organic low fat milk, naturally milled organic sugar, organic strawberry, pectin, organic beet juice concentrate (for color), natural flavor, vitamin d3, contain live active cultures: s. thermophilus, l bulgaricus, l acidophilus, bifidus, and l casei","- organic strawberries → organic strawberry (singular)
- contains live active cultures: s. thermophilus → contain live active cultures: s. thermophilus (singular)
- l. bulgaricus → l bulgaricus (96%)
- l. acidophilus → l acidophilus (96%)
- and l. casei → l casei (93%)"
108,"Organic Wheat Macaroni, Cheddar Cheese (Cultured Pasteurized Milk, Salt, Microbial Enzymes), Whey, Buttermilk, Cream, Salt, Corn Starch, Sodium Phosphate","organic wheat macaroni, cheddar cheese (cultured pasteurized milk, salt, microbial enzyme), whey, buttermilk, cream, salt, corn starch, sodium phosphate",- microbial enzymes → microbial enzyme (singular)
109,"Juice From Ripe, Whole Red Tart Cherries","juice from ripe, whole red tart cherry",- whole red tart cherries → whole red tart cherry (singular)
110,"Unbleached Wheat Flour, Water, Canola Oil, All Natural Evaporated Cane Juice (Naturally Milled Cane Sugar), Salt, Yeast, Baking Soda","unbleached wheat flour, water, canola oil, all natural evaporated cane juice (naturally milled cane sugar), salt, yeast, baking soda",
111,"Carbonated Water, Sugar, Honey, Root Beer Extract #214, Root Beer Extract # 79-400, Citric Acid, Sodium Benzoate-A Preservative, Yucca, Vanilla","carbonated water, sugar, honey, root beer extract, root beer extract 79-400, citric acid, sodium benzoate-a preservative, yucca, vanilla","- root beer extract 214 → root beer extract (89%)
- root beer extract  79-400 → root beer extract 79-400 (singular)"
112,"Organic Cultured Pasteurized Reduced Fat Milk, Organic Blueberry Fruit Base (Organic Blueberries, Organic Cane Sugar, Natural Flavor, Organic Locust Bean Gum, Pectin), Live Active Cultures: L. Acidophilus, Bifidus, L. Bulgaricus, S. Thermophilus, L. Rhamnosus. Cultured After Pasteurization","organic cultured pasteurized reduced fat milk, organic blueberry fruit base (organic blueberry, organic cane sugar, natural flavor, organic locust bean gum, pectin), live active cultures: l. acidophilus, bifidus, l bulgaricus, s thermophilus, l rhamnosus, cultured after pasteurization","- organic blueberries → organic blueberry (singular)
- l. bulgaricus → l bulgaricus (96%)
- s. thermophilus → s thermophilus (97%)
- l. rhamnosus → l rhamnosus (96%)"
